player,total_runs,balls_faced,innings,dismissals,strike_rate,batting_avg,recent_strike_rate,ball_bowled,runs_conceded,matches,wickets,economy,bowling_avg,recent_economy
DJ Jacobs,92.0,101.0,7.0,7.0,91.0891089108911,13.142857142857142,81.6590909090909,,,,0.0,8.529553786998122,31.396128841607563,9.1
DJ Mitchell,351.0,274.0,15.0,13.0,128.1021897810219,27.0,131.4949137549757,51.0,97.0,4.0,1.0,11.411764705882353,97.0,12.125
DJ Muthuswami,0.0,,0.0,,118.80341880341881,19.727272727272727,93.82142857142857,84.0,108.0,6.0,4.0,7.714285714285714,27.0,7.714285714285714
DJ Thornely,0.0,,0.0,,118.80341880341881,19.727272727272727,93.82142857142857,44.0,40.0,4.0,3.0,5.454545454545455,13.333333333333334,5.714285714285714
DJ Willey,0.0,,0.0,,118.80341880341881,19.727272727272727,93.82142857142857,221.0,277.0,11.0,6.0,7.520361990950226,46.166666666666664,7.633333333333334
DJG Sammy,295.0,251.0,20.0,15.0,117.52988047808766,19.666666666666668,107.88888888888889,244.0,354.0,19.0,11.0,8.704918032786885,32.18181818181818,9.433333333333334
DJM Short,115.0,102.0,7.0,7.0,112.74509803921569,16.428571428571427,101.22067183462532,18.0,23.0,2.0,1.0,7.666666666666667,23.0,7.666666666666667
DL Chahar,117.0,86.0,16.0,8.0,136.04651162790697,14.625,87.33333333333333,2009.0,2621.0,95.0,88.0,7.827775012444002,29.78409090909091,9.0
DL Vettori,121.0,118.0,16.0,7.0,102.54237288135593,17.285714285714285,94.10256410256412,785.0,894.0,34.0,28.0,6.83312101910828,31.928571428571427,6.966666666666667
DNT Zoysa,0.0,,0.0,,118.80341880341881,19.727272727272727,93.82142857142857,69.0,100.0,3.0,2.0,8.695652173913043,50.0,9.090909090909092
DP Conway,1080.0,794.0,28.0,25.0,136.02015113350126,43.2,100.96402577534653,,,,0.0,8.529553786998122,31.396128841607563,9.1
DP Nannes,0.0,,0.0,,118.80341880341881,19.727272727272727,93.82142857142857,689.0,815.0,29.0,28.0,7.097242380261249,29.107142857142858,7.8
DP Vijaykumar,0.0,,0.0,,118.80341880341881,19.727272727272727,93.82142857142857,159.0,205.0,9.0,4.0,7.735849056603773,51.25,7.884615384615385
DPMD Jayawardene,1808.0,1522.0,78.0,64.0,118.7910643889619,28.25,108.81410256410257,,,,0.0,8.529553786998122,31.396128841607563,9.1
DR Sams,44.0,48.0,13.0,10.0,91.66666666666666,4.4,37.857142857142854,389.0,528.0,16.0,14.0,8.143958868894602,37.714285714285715,7.566666666666666
DR Smith,2385.0,1803.0,88.0,81.0,132.27953410981698,29.444444444444443,135.67599067599068,557.0,825.0,46.0,26.0,8.88689407540395,31.73076923076923,10.0
DS Kulkarni,104.0,113.0,20.0,9.0,92.03539823008849,11.555555555555555,108.33333333333334,1876.0,2513.0,92.0,86.0,8.03731343283582,29.22093023255814,9.733333333333333
